locationDetails.name,locationDetails.locationId,locationDetails.kioskId,locationDetails.addressLine1,locationDetails.addressLine2,locationDetails.addressLine3,locationDetails.city,locationDetails.state,locationDetails.country,locationDetails.postalCode,locationDetails.distance,locationDetails.distanceuom,locationDetails.retailerId,locationDetails.latitude,locationDetails.longitude,locationOperatingHours.monHours,locationOperatingHours.tueHours,locationOperatingHours.wedHours,locationOperatingHours.thuHours,locationOperatingHours.friHours,locationOperatingHours.satHours,locationOperatingHours.sunHours,locationPhone.addToPhone,locationPhone.phone,locationServices.sendMoney,locationServices.receiveMoney,locationServices.billPayment,locationServices.addToPhone,locationServices.moneyOrder,locationServices.recCurrencies,locationServices.sendCurrencies,locationServices.xpressPackage,locationServices.purchaseMoneygramCard,locationServices.reloadMoneygramCard,locationServices.receiveToCard,locationServices.payWithCash,locationServices.reloadOtherCard,locationServices.payPal,locationServices.coinMe
SARL LES SIX BORNES - SOUPPES-SUR-LOING,74111679,MP00045182,57 AVENUE DU MARECHAL LECLERC,,,SOUPPES-SUR-LOING,,FR,77460,338.263174713508,km,291517806,48.1852,2.73303,08:00 AM - 09:30 PM,08:00 AM - 09:30 PM,08:00 AM - 09:30 PM,12:00 AM - 12:00 AM,08:00 AM - 09:30 PM,08:00 AM - 09:30 PM,08:00 AM - 08:00 PM,False,164297197,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SAM - PARIS,69487758,,68 RUE BRANCION,,,PARIS,,FR,75015,338.271801304187,km,291105049,48.8324,2.30306,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,False,156361137,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
37 - NEMOURS,73527934,MP00045101,37 RUE DE PARIS,,,NEMOURS,,FR,77140,338.279599987266,km,291470091,48.2671,2.69388,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 11:00 AM,False,961641250,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
IKG - BEZONS,74111909,,132-134 RUE JEAN JAURES,,,BEZONS,,FR,95870,338.304031818021,km,291517825,48.9233,2.21846,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,False,667575000,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE SAINT SPIRE - CORBEIL ESSONNES,70777907,MP00044927,38 RUE SAINT SPIRE,,,CORBEIL ESSONNES,,FR,91100,338.340842323335,km,291204728,48.6115,2.48339,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:30 AM - 08:00 PM,07:30 AM - 08:00 PM,False,0164960459,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BL TECHNOLOGIE - CORBEIL ESSONNES,73570033,,16 RUE SAINT SPIRE,,,CORBEIL ESSONNES,,FR,91100,338.364749935909,km,291475168,48.6122,2.48323,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,False,769795536,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BEAUTY HOUSE - BEZONS,73684039,MP00045515,20 AVENUE GABRIEL PERI,,,BEZONS,,FR,95870,338.382522503206,km,291478585,48.928,2.2151,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,False,139478174,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
A & R HOME MADE FOOD - NEUILLY-SUR-SEINE,74419041,,6 RUE CHARCOT,,,NEUILLY-SUR-SEINE,,FR,92200,338.450789321652,km,291547396,48.8843,2.25818,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,10:30 AM - 09:00 PM,False,147382479,True,True,False,False,False,,,False,False,False,False,False,False,False,False
TELEBOUTIQUE ARAGO,74315048,,4 PLACE ARAGON,,,COLOMBES,,FR,92700,338.473779656531,km,291537189,48.9149,2.22938,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,146131797,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LOUKERA TELECOM - NEMOURS,73773982,,12 RUE DE PARIS,,,NEMOURS,,FR,77140,338.485957405272,km,291488842,48.2674,2.69667,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,08:30 AM - 08:30 PM,False,175156007,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE BRAZZA - PARIS,69531219,MP00044804,294 RUE DE VAUGIRARD,,,PARIS,,FR,75015,338.502912217616,km,291109133,48.8393,2.30054,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,False,0148285608,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TABAC LAMARTINE - PARIS,71791937,MP00045013,178 AVENUE VICTOR HUGO,,,PARIS,,FR,75116,338.524330523586,km,291303470,48.866,2.27641,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,08:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,147044266,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE VAL D'OISE - PONTOISE,74035771,MP00045166,35 PLACE NOTRE DAME A L' ANGLE DU 1 RUE DE ROUEN,,,PONTOISE,,FR,95300,338.540739095791,km,291513168,49.0498,2.09172,07:00 AM - 01:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,False,961437529,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EUROPHONE SERVICES - COURBEVOIE,71753962,,45 AVENUE MARCEAU,,,COURBEVOIE,,FR,92400,338.550780955828,km,291300544,48.9002,2.24477,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,12:00 AM - 12:00 AM,False,0951078450,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
POINT PHONE - L HAY LES ROSES,68471930,MP00045219,41 B RUE PAUL HOCHART,,,L HAY LES ROSES,,FR,94240,338.577583605135,km,291028830,48.776,2.35721,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,False,0980565323,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LIBRAIRIE PAPETERIE ACARTERIE CHAUVELIN,66460451,MP00044665,6 PLACE SAINT LEONARD,,,CORBEIL ESSONNES,,FR,91100,338.616277823251,km,707048593,48.6139,2.48576,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,164851809,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MONDIAL@PHONE - SARTROUVILLE,68521327,MP00045222,5 RUE DU MARCHE,,,SARTROUVILLE,,FR,78500,338.620980550719,km,291033072,48.9457,2.20159,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,False,0139158087,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MULTISERVICES - VIGNEUX SUR SEINE,69319842,,3 PLACE PRESIDENT LAKOTA,,,VIGNEUX SUR SEINE,,FR,91270,338.629565416332,km,291092512,48.7077,2.41435,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,08:30 AM - 09:15 PM,False,0169390775,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
DERKA - NEMOURS,74406601,,26B QUAI DES TANNEURS,,,NEMOURS,,FR,77140,338.632603014914,km,291546618,48.2674,2.69878,12:00 AM - 12:00 AM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,12:00 AM - 12:00 AM,False,972889754,True,True,False,False,False,,,False,False,False,False,False,False,False,False
STP OPPORTUNITE ET VOYAGE,74059621,,15 RUE MAXIME PETIT,,,VIGNEUX-SUR-SEINE,,FR,91270,338.684701500581,km,291514809,48.7057,2.4168,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,963582366,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
K&B PHONE BAZAR - PARIS,69208827,MP00045240,37 RUE GEORGES PITARD,,,PARIS,,FR,75015,338.747229904474,km,291083663,48.8337,2.30946,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,False,0145303768,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
UDS92 - COURBEVOIE,73973588,,12 RUE BAUDIN,,,COURBEVOIE,,FR,92400,338.75356176605,km,291505721,48.8955,2.25248,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 02:00 PM,False,187093434,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
PHONE PLAISANCE - PARIS,73905310,,157 RUE RAYMOND LOSSERAND,,,PARIS,,FR,75014,338.766421188343,km,291498510,48.8308,2.31235,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,950435573,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
GOWRY ALIMENTATION - VILLEJUIF,70774340,MP00045293,90-102 RUE DE CHEVILLY,,,VILLEJUIF,,FR,94800,338.799723038312,km,291204418,48.7828,2.35491,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,0145129144,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SNC LES LOUVRAIS,72147221,MP00045034,41 RUE HENRI DUNANT,,,PONTOISE,,FR,95300,338.827694973877,km,291338584,49.0572,2.08849,07:30 AM - 07:00 PM,07:30 AM - 07:00 PM,07:30 AM - 07:00 PM,07:30 AM - 07:00 PM,07:30 AM - 07:00 PM,08:00 AM - 07:00 PM,09:00 AM - 12:30 PM,False,130303348,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LA CIVETTE 14 - PARIS,69297948,MP00044775,141 RUE RAYMOND LOSSERAND,,,PARIS,,FR,75014,338.861674735175,km,291090294,48.831,2.31369,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,0147930269,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
PARIS TELECOM - PARIS,72923380,MP00045439,70BIS RUE DUTOT,,,PARIS,,FR,75015,338.880694486863,km,291402241,48.8379,2.30778,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,False,951336576,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EXOTIQUE PETIT MARTROY - PONTOISE,73359364,,5 PLACE DU PETIT MARTROY,,,PONTOISE,,FR,95300,338.891166476371,km,291457624,49.0509,2.09647,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,False,751545901,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
PONTOISE EXOTIQUE - PONTOISE,71073956,,71 73 RUE DE GISORS,,,PONTOISE,,FR,95300,338.893120867825,km,291231761,49.0548,2.09213,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,False,0130383445,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
PINOY WEAR - PARIS,74166132,,14,RUE DE LA CROIX NIVERT,,PARIS,,FR,75015,338.927700868559,km,291525094,48.8472,2.30009,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,False,651019971,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE VAL D'OISE - PARIS,72410275,MP00045061,8 PLACE FALGUIERE,,,PARIS,,FR,75015,338.936013564012,km,291361631,48.8361,2.31031,06:45 AM - 01:00 PM,06:45 AM - 08:00 PM,06:45 AM - 08:00 PM,06:45 AM - 08:00 PM,06:45 AM - 08:00 PM,07:45 AM - 08:00 PM,07:45 AM - 08:00 PM,False,961437529,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SASMI - PONTOISE,73701174,MP00045525,29 PLACE DU GRAND MARTROY,,,PONTOISE,,FR,95300,338.949607099817,km,291482936,49.051,2.09729,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,False,652322274,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE SCRIBE 92 - NEUILLY SUR SEINE,72493904,,116 avenue Charles de Gaulle,,,NEUILLY SUR SEINE,,FR,92200,338.953329152377,km,291375173,48.8829,2.26763,12:00 AM - 12:00 AM,11:00 AM - 07:00 PM,11:00 AM - 07:00 PM,11:00 AM - 07:00 PM,11:00 AM - 07:00 PM,01:00 AM - 07:00 PM,12:00 AM - 12:00 AM,False,147452746,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EUROPHONE SERVICES - LA-GARENNE-COLOMBES,74284632,,83 RUE MEDERIC,,,LA-GARENNE-COLOMBES,,FR,92250,338.976507570695,km,291530532,48.9097,2.2425,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,08:30 AM - 07:30 PM,12:00 AM - 12:00 AM,False,627506440,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE NARVAL - HERBLAY,73657888,,10 boulevard Oscar Thevenin,,,HERBLAY,,FR,95220,338.99354535006,km,291476740,48.9907,2.16208,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 03:30 PM,False,651813228,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
WILLIAM COPY - NEUILLY SUR SEINE,70478361,,108 AVENUE CHARLES DE GAULLE CARREAU DE NEUILLY,,,NEUILLY SUR SEINE,,FR,92200,339.00433641416,km,291179560,48.8827,2.26861,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,10:30 AM - 06:00 PM,False,01140883808,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
HELLO MOBILE - VIGNEUX SUR SEINE,73496816,,33 AVENUE DE LA CONCORDE,,,VIGNEUX SUR SEINE,,FR,91270,339.023011190381,km,291472367,48.7049,2.42262,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,952734325,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BARAKA - COURBEVOIE,72396331,MP00045057,73 AVENUE DE LA REPUBLIQUE,,,COURBEVOIE,,FR,92400,339.03245615123,km,291361253,48.9016,2.25119,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,12:00 AM - 12:00 AM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,False,962052722,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SARL H & D 7 INFORMATIQUE - ST OUEN L AU,69502206,,43 ET 45 RUE DU GENERAL LECLERC,,,ST OUEN L AUMONE,,FR,95310,339.091486820565,km,291107206,49.0474,2.10356,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,False,0134679512,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
ASK INFORMATIQUE - PARIS,74070040,MP00045574,177 RUE D'ALESIA,,,PARIS,,FR,75014,339.094555039424,km,291514778,48.8309,2.31744,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,360173036,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
POINT INFORMATIQUE - SAINT OUEN L'AUMONE,74292048,,68 RUE DU GENERAL LECLERC,,,SAINT OUEN L'AUMONE,,FR,95310,339.103835320702,km,291535641,49.0476,2.1036,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,09:30 AM - 08:30 PM,False,983307669,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE ROCHEFORT - CORMEILLES EN PARISIS,72675748,MP00045085,3 AVENUE DES FRERES LUMIERE,,,CORMEILLES EN PARISIS,,FR,95240,339.120163648499,km,291382826,48.9579,2.19752,12:00 AM - 12:00 AM,07:30 AM - 08:00 PM,07:30 AM - 08:00 PM,07:30 AM - 08:00 PM,07:30 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 03:00 PM,False,134123240,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
WANA MEDITEL + - ARGENTEUIL,67139697,MP00045205,278 AVENUE JEAN JAURES,,,ARGENTEUIL,,FR,95100,339.124813814631,km,877295037,48.9413,2.21414,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,09:00 AM - 11:15 PM,False,0130250035,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
ALLOPHONE 94,66766579,,22 PLACE AUGUSTE RODIN CCIAL LES LOZAITS,,,VILLEJUIF,,FR,94800,339.134243190262,km,787469865,48.7851,2.35814,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,False,0621656215,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TOTO YEYEN MINIMARKET,74106037,,49 RUE RAYMOND POINCARE,,,PARIS,,FR,75016,339.153622710828,km,291517629,48.8668,2.28579,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,False,671856235,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
S V TELECOM - PARIS,67720608,,9 RUE POIRIER DE NARCAY,,,PARIS,,FR,75014,339.164933384452,km,290970641,48.8241,2.32458,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,0177134665,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SARL BAMAKO MARKET - ST OUEN L AUMONE,72115392,MP00045386,9 AVENUE DU GENERAL DE GAULLE,,,ST OUEN L AUMONE,,FR,95310,339.189353757315,km,291327573,49.0445,2.1084,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,651739017,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE 7EME ART,74143362,,84 RUE RAYMOND LOSSERAND,,,PARIS,,FR,75014,339.200661103629,km,291520425,48.8334,2.31689,06:30 AM - 09:00 PM,06:30 AM - 09:00 PM,06:30 AM - 09:00 PM,06:30 AM - 09:00 PM,06:30 AM - 09:00 PM,08:00 AM - 09:00 PM,09:00 AM - 08:00 PM,False,145420691,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BOURAK TELECOM - PARIS,73890234,,130BIS AVENUE DU GENERAL LECLERC,,,PARIS,,FR,75014,339.219860164851,km,291498861,48.8241,2.32553,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,False,983896137,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
GLOBEON TRADERS,74340071,,5 BOULEVARD DES CORDELIERS,,,PONTOISE,,FR,95300,339.289316808841,km,291536411,49.0572,2.09621,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,987304345,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
PHILIPPINE MINI MART - #2 - PARIS,70751716,,81 RUE BOISSIERE,,,PARIS,,FR,75116,339.305124464613,km,291202576,48.8692,2.28601,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,10:00 AM - 10:00 PM,False,0140670070,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
O.G EXOTIQUES,74416154,,19 place de la halle,,,HERBLAY,,FR,95220,339.306879764951,km,291547936,48.9921,2.16587,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,False,980715378,True,True,False,False,False,,,False,False,False,False,False,False,False,False
PRANOY STORE - #1 - PARIS,74424227,,19 RUE DU BOUQUET DE LONGCHAMP,,,PARIS,,FR,75116,339.415063721919,km,291546815,48.866,2.29072,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,False,650901524,True,True,False,False,False,,,False,False,False,False,False,False,False,False
LOGAN O'MARKET - ORLY,73380197,,4 AVENUE DE L AERODROME,,,ORLY,,FR,94310,339.595907149209,km,291462579,48.7429,2.40077,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,673451459,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
GIULIETTA SHOP - #2 - COLOMBES,73873552,,173 RUE GABRIEL PERI,,,COLOMBES,,FR,92700,339.640049166991,km,291492591,48.92,2.24331,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,09:00 AM - 09:30 PM,False,157711421,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SNS MARCHE EXOTIQUE - ST OUEN L AUMONE,68848408,MP00045228,RUE DU CHAMP GAILLARD,,,ST OUEN L AUMONE,,FR,95310,339.642845893852,km,291058287,49.0339,2.12746,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,False,0134648045,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
ABLON EXOTIQUE - ABLON-SUR-SEINE,74001886,,3 AVENUE AUGUSTE DURU,,,ABLON-SUR-SEINE,,FR,94480,339.777649593043,km,291527338,48.7239,2.41902,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,01:00 PM - 09:00 PM,False,983447228,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
GOWRY - GENTILLY,70663516,,65BIS AVENUE PAUL VAILLANT COUTURIER,,,GENTILLY,,FR,94250,339.81171025165,km,291198523,48.8162,2.34179,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,0177238135,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
AZAD GLOBAL - LA GARENNE-COLOMBES,74070781,,2 AVENUE DU GENERAL DE GAULLE,,,LA GARENNE-COLOMBES,,FR,92250,339.840347330426,km,291515826,48.9132,2.25312,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,602642419,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
